date,precipitation_mm
2019-01-26,16.48692033398373
2019-01-27,4.181469455005637
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,4.288164195078439
2019-01-31,0.0
2019-02-01,1.5138047734369338
2019-02-02,10.615432246399601
2019-02-03,9.586335013547272
2019-02-04,9.601153526339882
2019-02-05,11.60715607011561
2019-02-06,2.456706388770322
2019-02-07,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-10,0.0
2019-02-11,12.581908428384393
2019-02-12,7.35918664805769
2019-02-13,34.55932568618411
2019-02-14,0.0
2019-02-15,0.0
2019-02-16,10.575341229729691
2019-02-17,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,11.032534371636592
2019-02-23,21.004231526301457
2019-02-24,5.516267185818296
2019-02-25,11.032534371636592
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,26.01897685744929
2019-03-04,0.0
2019-03-05,4.513553335221863
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-09,0.0
2019-03-10,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-16,0.0
2019-03-17,4.630426648019375
2019-03-18,27.869962899691235
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,20.429083533249106
2019-03-22,0.0
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.15764725998795004
2019-03-30,0.0
2019-03-31,0.0
2019-04-01,9.550336218849944
2019-04-02,12.39739928342514
2019-04-03,1.890966608922741
2019-04-04,0.0
2019-04-05,5.067530724772514
2019-04-06,6.114750087208501
2019-04-07,0.38840572460892986
2019-04-08,4.123101621681774
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,3.7259826261737934
2019-04-12,5.232176144496199
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,6.504252351141947
2019-04-19,3.459104579281323
2019-04-20,0.0
2019-04-21,3.7903964898946754
2019-04-22,0.969800353419138
2019-04-23,0.7281794524846301
2019-04-24,0.9559404863708323
2019-04-25,0.9488430191836033
2019-04-26,0.0
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-04,0.0
2019-05-05,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-11,0.0
2019-05-12,1.4195640253662325
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,1.1419287233833295
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,0.0
2019-05-28,0.0
2019-05-29,3.200400148842
2019-05-30,0.0
2019-05-31,0.0
2019-06-01,0.0
2019-06-02,0.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,1.4876193662958797
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.41032666173474547
2019-06-21,0.0
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,0.0
2019-06-25,2.900050406957706
2019-06-26,4.618042290685032
2019-06-27,0.0
2019-06-28,0.0
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-04,0.0
2019-07-05,3.389617513493033
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-20,3.9241163583058998
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-27,0.0
2019-07-28,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,1.0519215959452823
2019-08-02,0.0
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,3.9575281377180196
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,2.6466086197489664
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,6.532056595138698
2019-09-06,7.483149829530592
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
